2025-04-28 12:39:30 | INFO     | app          | Creating Flask application...
2025-04-28 12:39:30 | INFO     | app          | Attempting to set explicit template folder: G:\semester 6\IS\project\templates
2025-04-28 12:39:30 | INFO     | app          | Flask App Root Path: G:\semester 6\IS\project\app
2025-04-28 12:39:30 | INFO     | app          | Flask Template Folder (set explicitly): G:\semester 6\IS\project\templates
2025-04-28 12:39:30 | INFO     | app          | Flask application created successfully.
2025-04-28 12:39:30 | INFO     | __main__     | Starting Flask development server...
2025-04-28 12:39:30 | WARNING  | werkzeug     |  * Debugger is active!
2025-04-28 12:39:35 | WARNING  | app.routes   | Access denied to /. User not logged in.
2025-04-28 12:39:44 | INFO     | app.routes   | Login attempt for username: 'shahmir'
2025-04-28 12:39:44 | INFO     | app.auth     | Generated token for user 'shahmir' (Role: admin). Expires at 2025-04-28 13:39:44
2025-04-28 12:39:44 | INFO     | app.routes   | Login successful for user 'shahmir'. Token stored in session.
2025-04-28 12:39:59 | INFO     | app.routes   | Prediction request via web form from user 'shahmir'
2025-04-28 12:39:59 | INFO     | app.routes   | Model not cached. Attempting to load and decrypt...
2025-04-28 12:40:01 | INFO     | app.routes   | Prediction request via web form from user 'shahmir'
2025-04-28 12:40:01 | INFO     | app.routes   | Model not cached. Attempting to load and decrypt...
2025-04-28 12:40:01 | INFO     | app.utils    | Keras model loaded successfully from temporary file.
2025-04-28 12:40:01 | WARNING  | app.utils    | Could not remove temporary model file G:\semester 6\IS\project\models\temp_mnist_cnn_defended_adv_train.keras: [WinError 32] The process cannot access the file because it is being used by another process: 'G:\\semester 6\\IS\\project\\models\\temp_mnist_cnn_defended_adv_train.keras'
2025-04-28 12:40:01 | INFO     | app.routes   | Defended model loaded and cached successfully.
2025-04-28 12:40:02 | INFO     | app.utils    | Keras model loaded successfully from temporary file.
2025-04-28 12:40:02 | INFO     | app.routes   | Defended model loaded and cached successfully.
2025-04-28 12:40:03 | INFO     | app.routes   | Prediction request via web form from user 'shahmir'
2025-04-28 12:40:05 | INFO     | app.routes   | Prediction request via web form from user 'shahmir'
2025-04-28 12:40:05 | INFO     | app.routes   | Prediction by model successful: Class=4, Confidence=0.4266
2025-04-28 12:40:05 | INFO     | app.routes   | Prediction by model successful: Class=4, Confidence=0.4266
2025-04-28 12:40:05 | INFO     | app.routes   | Prediction by model successful: Class=4, Confidence=0.4266
2025-04-28 12:40:05 | INFO     | app.routes   | Prediction by model successful: Class=4, Confidence=0.4266
2025-04-28 12:40:13 | INFO     | app.routes   | Prediction request via web form from user 'shahmir'
2025-04-28 12:40:13 | INFO     | app.routes   | Prediction by model successful: Class=2, Confidence=0.9991
2025-04-28 12:41:56 | INFO     | app.routes   | Log view request from admin user 'shahmir'
2025-04-28 12:43:00 | INFO     | app.routes   | Log view request from admin user 'shahmir'
2025-04-28 12:46:26 | INFO     | app.routes   | Prediction request via web form from user 'shahmir'
2025-04-28 12:46:27 | INFO     | app.routes   | Prediction by model successful: Class=2, Confidence=0.9991
2025-04-28 12:47:16 | INFO     | app.auth     | Token invalidated for user 'shahmir' (Logout)
2025-04-28 12:47:16 | INFO     | app.routes   | User 'shahmir' logged out (session cleared, server token invalidated).
2025-04-28 12:47:25 | INFO     | app.routes   | Login attempt for username: 'shahmir'
2025-04-28 12:47:25 | INFO     | app.auth     | Generated token for user 'shahmir' (Role: admin). Expires at 2025-04-28 13:47:25
2025-04-28 12:47:25 | INFO     | app.routes   | Login successful for user 'shahmir'. Token stored in session.
2025-05-01 01:49:05 | INFO     | root         | Logging initialized.
2025-05-01 01:49:05 | INFO     | app          | Creating Flask application...
2025-05-01 01:49:05 | INFO     | app          | Attempting to set explicit template folder: G:\semester 6\IS\project\templates
2025-05-01 01:49:05 | INFO     | app          | Flask App Root Path: G:\semester 6\IS\project\app
2025-05-01 01:49:05 | INFO     | app          | Flask Template Folder (set explicitly): G:\semester 6\IS\project\templates
2025-05-01 01:49:05 | INFO     | app          | Flask application created successfully.
2025-05-01 01:49:05 | INFO     | __main__     | Starting Flask development server...
2025-05-01 01:49:13 | INFO     | root         | Logging initialized.
2025-05-01 01:49:13 | INFO     | app          | Creating Flask application...
2025-05-01 01:49:13 | INFO     | app          | Attempting to set explicit template folder: G:\semester 6\IS\project\templates
2025-05-01 01:49:13 | INFO     | app          | Flask App Root Path: G:\semester 6\IS\project\app
2025-05-01 01:49:13 | INFO     | app          | Flask Template Folder (set explicitly): G:\semester 6\IS\project\templates
2025-05-01 01:49:13 | INFO     | app          | Flask application created successfully.
2025-05-01 01:49:13 | INFO     | __main__     | Starting Flask development server...
2025-05-01 01:49:13 | WARNING  | werkzeug     |  * Debugger is active!
